username,positive_percentage,neutral_percentage,negative_percentage,sentiment_score,dominant_sentiment
00_rocketgirl,35.56,27.22,37.22,49.17,Neutral 😐
1000manerasdevestir,63.56,23.21,13.23,75.16,Positive 😄
1065theend,37.29,25.42,37.29,50.0,Neutral 😐
11september_,34.54,29.25,36.21,49.16,Neutral 😐
13reasonsfeed,51.53,36.61,11.86,69.83,Positive 😄
170kvm,35.38,29.64,34.99,50.19,Neutral 😐
17maggiezine,78.57,8.93,12.5,83.04,Positive 😄
23patrickchung,67.58,19.38,13.05,77.26,Positive 😄
2_step_videos,100.0,0.0,0.0,100.0,Positive 😄
2ctorkia,35.01,29.67,35.33,49.84,Neutral 😐
2epeau,34.15,32.78,33.06,50.54,Neutral 😐
2hearts_1love,35.75,30.95,33.3,51.23,Neutral 😐
2khtstylish,36.5,28.08,35.43,50.54,Neutral 😐
2kidsandacoupon,73.4,22.34,4.26,84.57,Positive 😄
2themtn,34.2,31.49,34.31,49.95,Neutral 😐
2traveldads,63.64,36.36,0.0,81.82,Positive 😄
312food,35.23,29.78,34.99,50.12,Neutral 😐
360chrism,50.0,50.0,0.0,75.0,Positive 😄
3princesses1dude,32.85,31.89,35.25,48.8,Neutral 😐
3rdeyeyana,72.48,14.77,12.75,79.87,Positive 😄
408california408,58.72,26.92,14.36,72.18,Positive 😄
5115styleblvd,34.95,29.87,35.18,49.88,Neutral 😐
57kazqz6uyiq2p2,73.08,26.92,0.0,86.54,Positive 😄
5ftinf,66.57,21.91,11.52,77.53,Positive 😄
5sur5tv,40.0,40.0,20.0,60.0,Neutral 😐
6abcactionnews,35.69,28.51,35.81,49.94,Neutral 😐
80fitz,34.69,29.89,35.42,49.63,Neutral 😐
85cbakerycafe,38.18,27.27,34.55,51.82,Neutral 😐
8788clothing,100.0,0.0,0.0,100.0,Positive 😄
90s_share,100.0,0.0,0.0,100.0,Positive 😄
91xsandiego,36.22,29.48,34.3,50.96,Neutral 😐
929thegame,35.2,30.61,34.18,50.51,Neutral 😐
95sxhitmusicnow,37.5,25.0,37.5,50.0,Neutral 😐
965koit,85.71,14.29,0.0,92.86,Positive 😄
975thefanatic,65.88,25.88,8.24,78.82,Positive 😄
981chfi,64.96,27.36,7.68,78.64,Positive 😄
995qyk,25.0,37.5,37.5,43.75,Neutral 😐
999thefan,100.0,0.0,0.0,100.0,Positive 😄
____liltunechi____,50.0,0.0,50.0,50.0,Neutral 😐
__jta,35.56,27.78,36.67,49.44,Neutral 😐
__lapauline__,36.09,29.51,34.4,50.84,Neutral 😐
__michaelgarcia,35.59,30.51,33.9,50.85,Neutral 😐
_aboutvictoria_,100.0,0.0,0.0,100.0,Positive 😄
_agneslifestyle,66.79,22.16,11.06,77.87,Positive 😄
_alussier,32.56,30.23,37.21,47.67,Neutral 😐
_angelmariee,33.11,31.29,35.6,48.75,Neutral 😐
_azrak_,66.14,21.38,12.48,76.83,Positive 😄
_beautiful_homeliving_,70.68,17.51,11.82,79.43,Positive 😄
_beckykimball,66.01,21.9,12.09,76.96,Positive 😄
_camrenee_,34.21,34.21,31.58,51.32,Neutral 😐
_capturingmamahood,36.0,30.0,34.0,51.0,Neutral 😐
_celinamitc,32.41,30.56,37.04,47.69,Neutral 😐
_chellita,71.02,18.47,10.51,80.26,Positive 😄
_creativemommy_,35.36,29.72,34.92,50.22,Neutral 😐
_effifit_,36.84,31.58,31.58,52.63,Neutral 😐
_everydayariana,35.4,28.47,36.13,49.64,Neutral 😐
_fairleigh,38.46,26.15,35.38,51.54,Neutral 😐
_farfromhome,34.14,29.68,36.18,48.98,Neutral 😐
_fibii_,35.22,29.38,35.4,49.91,Neutral 😐
_hannahweir_,34.26,31.24,34.49,49.88,Neutral 😐
_isifit,33.99,30.03,35.97,49.01,Neutral 😐
_kasiamarie,35.36,29.58,35.06,50.15,Neutral 😐
_katelynbenson,50.0,25.0,25.0,62.5,Positive 😄
_lahrin_,34.81,30.38,34.81,50.0,Neutral 😐
_littleflow,34.24,30.27,35.49,49.38,Neutral 😐
_liyah1011,36.36,27.27,36.36,50.0,Neutral 😐
_loewenmami_,34.72,27.78,37.5,48.61,Neutral 😐
_lydiawong,32.79,32.79,34.43,49.18,Neutral 😐
_malinvictoria,,,,0.0,Neutral 😐
_mariakanela_,32.0,32.0,36.0,48.0,Neutral 😐
_melopez_,40.0,40.0,20.0,60.0,Neutral 😐
_miss_maggiemae,34.62,31.16,34.22,50.2,Neutral 😐
