username,sentiment_score,dominant_sentiment
alisasia,80.48,Positive 😄
anastasiarice,100.0,Positive 😄
about_yvi,76.9,Positive 😄
adila_makeup,82.09,Positive 😄
alinatsvor,76.15,Positive 😄
auroraelizondo,76.98,Positive 😄
amanda_nawfal_sayde,76.51,Positive 😄
camilapicomejia,83.33,Positive 😄
allthingskate,77.92,Positive 😄
tabitha.willett,79.32,Positive 😄
aprimarykindoflife,74.54,Positive 😄
allitav,81.06,Positive 😄
arishafakhan138,84.29,Positive 😄
azfamilies,78.34,Positive 😄
5ftinf,77.53,Positive 😄
annacossack,75.37,Positive 😄
carlyincontro,78.46,Positive 😄
121corp,88.0,Positive 😄
bajans4rihanna,91.09,Positive 😄
ceddyced1125,86.19,Positive 😄
bunsinmyoven,86.67,Positive 😄
carolmanprim,76.1,Positive 😄
chicandclothes,76.98,Positive 😄
blessedtrini_empress,92.16,Positive 😄
amberwhite69,83.33,Positive 😄
alliesiv,80.8,Positive 😄
antalilona,100.0,Positive 😄
casualcontrast,85.0,Positive 😄
antonellaskitchen,77.33,Positive 😄
carina.raquel_,75.0,Positive 😄
camillaathena,77.25,Positive 😄
ariannaventura,77.9,Positive 😄
bandosmaldives,82.86,Positive 😄
carpediememmie,77.57,Positive 😄
angieknowsthetruth,77.62,Positive 😄
chicamera.y,84.34,Positive 😄
mayla_kind,79.7,Positive 😄
ashrod,75.55,Positive 😄
angelisebrio,73.25,Positive 😄
amberskiescosplay,78.24,Positive 😄
acaciamuhs,79.91,Positive 😄
alexbuckham,81.82,Positive 😄
anna_escalona,88.89,Positive 😄
brandyandmoose,75.93,Positive 😄
ascodecara,76.54,Positive 😄
afarmgirlskitchen,78.47,Positive 😄
chalkkidsblog,87.04,Positive 😄
alexis_howell,100.0,Positive 😄
bethshehata,77.23,Positive 😄
aninestang,78.68,Positive 😄
bubs_11,80.56,Positive 😄
brittanyjjones,75.42,Positive 😄
audelielavoie,75.33,Positive 😄
academy,75.1,Positive 😄
_andrea_snow,77.58,Positive 😄
casamoncada,81.42,Positive 😄
bakersgirls,94.59,Positive 😄
0mummyconfessions0,83.83,Positive 😄
bakeaman,78.29,Positive 😄
avegetarianinitaly,78.07,Positive 😄
ben_thornley,0.0,Neutral 😐
ameliathecav,75.57,Positive 😄
aanniethomas,79.79,Positive 😄
_abbyguthrie,81.36,Positive 😄
cfashionista,74.96,Positive 😄
audreyclaire2,80.95,Positive 😄
by_desire,78.24,Positive 😄
alyssalock,79.77,Positive 😄
bylaumk,78.43,Positive 😄
aisha_antoinette,75.0,Positive 😄
alessandratambara,100.0,Positive 😄
bizandbiceps,81.06,Positive 😄
aleshaofficial,77.42,Positive 😄
aloysiusballard,88.46,Positive 😄
carlosriosq,73.11,Positive 😄
be_parisien,75.86,Positive 😄
alksne,76.99,Positive 😄
boardroomblonde,78.81,Positive 😄
ameliahannah,79.57,Positive 😄
ashleytory,76.83,Positive 😄
bachelorettepadflip,80.61,Positive 😄
ashanti,73.59,Positive 😄
blythe,76.42,Positive 😄
brightestyoungthings,78.8,Positive 😄
ashb4211,84.25,Positive 😄
cabosurfcaster,77.02,Positive 😄
adventuresofaspooniemom,86.89,Positive 😄
amandapahls,76.17,Positive 😄
alia,76.16,Positive 😄
afterschoolshow,100.0,Positive 😄
abigailbrockman,78.7,Positive 😄
angelaartosin,77.42,Positive 😄
ashhleats,80.61,Positive 😄
andigroh,93.71,Positive 😄
amelia_nymphea,74.42,Positive 😄
catherineavedadallas,87.97,Positive 😄
anitaschu,78.91,Positive 😄
cdignadice,92.86,Positive 😄
bavieradeborah,80.59,Positive 😄
angelicadamore,82.18,Positive 😄
chefrosecleermarie,82.55,Positive 😄
chloechapman,77.3,Positive 😄
ashley_chloe,76.63,Positive 😄
carlyxhair,80.76,Positive 😄
brookecarriehil,75.83,Positive 😄
cheskahull,83.64,Positive 😄
acedarspoon,77.09,Positive 😄
chrissy_vark,77.63,Positive 😄
almamicic,100.0,Positive 😄
aric_almirola,82.31,Positive 😄
979laraza,82.95,Positive 😄
astridpofficial,76.43,Positive 😄
brahmino,76.4,Positive 😄
amar_dp,79.49,Positive 😄
byengell,86.67,Positive 😄
_beckykimball,76.96,Positive 😄
annapantarei,75.99,Positive 😄
amyreannie,80.23,Positive 😄
amanda_allison,78.01,Positive 😄
bahamadwaton,88.89,Positive 😄
amandapaige122,81.46,Positive 😄
adamjk,78.41,Positive 😄
cherixxo,88.16,Positive 😄
aaliy0h,78.26,Positive 😄
bargain.hunting.blonde,76.45,Positive 😄
aloette_hollywood,75.0,Positive 😄
adrianaboho,80.37,Positive 😄
cecicalvog,87.04,Positive 😄
arang.ytb,100.0,Positive 😄
bluegraygal,77.98,Positive 😄
ana__monte,76.4,Positive 😄
ang_e_lik,76.73,Positive 😄
brookedeboer,78.69,Positive 😄
bellemeetsworld,78.38,Positive 😄
ayaimamura,78.09,Positive 😄
carlygraceyoga,79.35,Positive 😄
aljaskrt,82.69,Positive 😄
cantimagineit,76.41,Positive 😄
campbellmodels,86.71,Positive 😄
beatrice_copeland,86.76,Positive 😄
4696mono1222_shoko,78.48,Positive 😄
chakeup,78.36,Positive 😄
acqua_mood,93.64,Positive 😄
allureandmore,79.46,Positive 😄
ahmi_grace,72.73,Positive 😄
brooklynnsmama1,78.0,Positive 😄
charlieonsneakers,78.1,Positive 😄
alessia.fit,77.79,Positive 😄
allisonhoeller,79.29,Positive 😄
2travelingdogs,77.78,Positive 😄
13reasonsfeed,69.83,Positive 😄
alejandraespinoza,76.57,Positive 😄
beautyandbrains_5,83.33,Positive 😄
alexisolvera__,83.22,Positive 😄
b97neworleans,88.89,Positive 😄
alinamaglas,76.14,Positive 😄
amor.anna,85.42,Positive 😄
alexandralee1016,77.15,Positive 😄
annesophie.pailleret,84.25,Positive 😄
blondemeetscity,77.23,Positive 😄
all.about.isii,75.69,Positive 😄
callmekatiebug,81.21,Positive 😄
beautiesandthebibs,81.5,Positive 😄
5feetoffashion,77.23,Positive 😄
alvarosanzpascual,90.62,Positive 😄
anniepfit,74.09,Positive 😄
aayushimalikk,78.61,Positive 😄
alex_georgy,77.73,Positive 😄
aynur_zweiuhr,82.35,Positive 😄
chowdownusa,76.83,Positive 😄
beezyb8,78.57,Positive 😄
ameliawbrown,76.77,Positive 😄
1dnails,84.09,Positive 😄
adelina_ilardi_,76.03,Positive 😄
2traveldads,81.82,Positive 😄
abcauthor,79.68,Positive 😄
afrugalchick,95.45,Positive 😄
basmamagazine,79.58,Positive 😄
akaastrid,73.15,Positive 😄
cassidy_naber,79.01,Positive 😄
allanhov,80.42,Positive 😄
